Username/ID,Question,BT level,Question-Visit-Timestamp,Response-Submit-Timestamp,Response,Time,Score,Tab Switch
Student2,7,LOTS,"[""24-03-2022 05:34:07"", ""24-03-2022 05:41:43""]","[[""option_4"", ""24-03-2022 05:35:47""]]",option_4,96,0,0
Student2,8,LOTS,"[""24-03-2022 05:33:12""]","[[""option_1"", ""24-03-2022 05:33:17""]]",option_1,18,1,0
Student2,9,LOTS,"[""24-03-2022 05:39:04"", ""24-03-2022 05:43:41""]","[[""option_3"", ""24-03-2022 05:44:18""]]",option_3,187,0,0
Student2,10,LOTS,"[""24-03-2022 05:36:40""]","[[""option_3"", ""24-03-2022 05:37:27""]]",option_3,46,1,0
Student2,11,HOTS,"[""24-03-2022 05:36:19""]","[[""option_4"", ""24-03-2022 05:36:40""]]",option_4,21,0,0
Student2,12,HOTS,"[""24-03-2022 05:31:14""]","[[""option_1"", ""24-03-2022 05:32:58""]]",option_1,104,0,0
Student2,13,HOTS,"[""24-03-2022 05:38:36"", ""24-03-2022 05:41:48""]","[[""option_3"", ""24-03-2022 05:43:35""]]",option_3,106,1,0
Student2,14,HOTS,"[""24-03-2022 05:35:39""]","[[""option_3"", ""24-03-2022 05:36:19""]]",option_3,40,1,0
Student2,15,HOTS,"[""24-03-2022 05:37:27""]","[[""option_3"", ""24-03-2022 05:38:26""]]",option_3,59,1,0
Student3,1,LOTS,"[""24-03-2022 05:35:07"", ""24-03-2022 05:35:32"", ""24-03-2022 05:44:40""]","[[""option_1"", ""24-03-2022 05:36:03""], [""option_1"", ""24-03-2022 05:44:41""]]",option_1,35,1,0
Student3,2,LOTS,"[""24-03-2022 05:37:29"", ""24-03-2022 05:44:43""]","[[""option_2"", ""24-03-2022 05:45:07""]]",option_2,46,1,0
Student3,3,LOTS,"[""24-03-2022 05:34:15"", ""24-03-2022 05:35:05"", ""24-03-2022 05:44:08""]","[[""option_2"", ""24-03-2022 05:44:38""]]",option_2,30,0,0
Student3,4,LOTS,"[""24-03-2022 05:33:16"", ""24-03-2022 05:44:07""]","[[""option_2"", ""24-03-2022 05:34:15""], [""option_2"", ""24-03-2022 05:44:08""]]",option_2,61,1,0
Student3,5,LOTS,"[""24-03-2022 05:39:16"", ""24-03-2022 05:45:18""]","[[""option_3"", ""24-03-2022 05:39:36""], [""option_3"", ""24-03-2022 05:45:23""]]",option_3,25,0,0
Student3,6,LOTS,"[""24-03-2022 05:39:36"", ""24-03-2022 05:45:23""]","[[""option_2"", ""24-03-2022 05:45:36""]]",option_2,16,1,0
Student3,7,LOTS,"[""24-03-2022 05:38:38"", ""24-03-2022 05:45:13""]","[[""option_2"", ""24-03-2022 05:45:18""]]",option_2,42,0,0
Student3,8,LOTS,"[""24-03-2022 05:31:31"", ""24-03-2022 05:44:03""]","[[""option_1"", ""24-03-2022 05:31:50""], [""option_1"", ""24-03-2022 05:44:03""], [""option_1"", ""24-03-2022 05:44:04""]]",option_1,20,1,0
Student3,9,LOTS,"[""24-03-2022 05:30:29"", ""24-03-2022 05:43:58""]","[[""option_3"", ""24-03-2022 05:31:29""], [""option_3"", ""24-03-2022 05:44:03""]]",option_3,60,0,0
Student3,10,LOTS,"[""24-03-2022 05:39:52"", ""24-03-2022 05:45:36""]","[[""option_3"", ""24-03-2022 05:42:28""], [""option_3"", ""24-03-2022 05:45:36""], [""option_3"", ""24-03-2022 05:45:37""]]",option_3,154,1,0
Student3,11,HOTS,"[""24-03-2022 05:36:03"", ""24-03-2022 05:44:41""]","[[""option_4"", ""24-03-2022 05:37:29""], [""option_4"", ""24-03-2022 05:44:43""]]",option_4,85,0,0
Student3,12,HOTS,"[""24-03-2022 05:31:50"", ""24-03-2022 05:44:03""]","[[""option_1"", ""24-03-2022 05:33:16""], [""option_1"", ""24-03-2022 05:44:06""]]",option_1,87,0,0
Student3,13,HOTS,"[""24-03-2022 05:34:15"", ""24-03-2022 05:35:06"", ""24-03-2022 05:35:10"", ""24-03-2022 05:43:10"", ""24-03-2022 05:44:39""]","[[""option_2"", ""24-03-2022 05:44:40""]]",option_2,120,0,0
Student3,14,HOTS,"[""24-03-2022 05:37:51"", ""24-03-2022 05:45:07""]","[[""option_4"", ""24-03-2022 05:38:38""], [""option_4"", ""24-03-2022 05:45:13""]]",option_4,53,0,0
Student3,15,HOTS,"[""24-03-2022 05:42:29"", ""24-03-2022 05:45:36""]","[[""option_3"", ""24-03-2022 05:43:08""], [""option_3"", ""24-03-2022 05:45:38""]]",option_3,55,1,0
Student4,1,LOTS,"[""24-03-2022 05:31:56"", ""24-03-2022 05:35:45"", ""24-03-2022 05:36:20"", ""24-03-2022 05:38:02"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:46"", ""24-03-2022 05:41:08"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:14""]","[[""option_1"", ""24-03-2022 05:32:07""], [""option_1"", ""24-03-2022 05:41:08""], [""option_1"", ""24-03-2022 05:41:09""], [""option_1"", ""24-03-2022 05:43:16""]]",option_1,37,1,0
Student4,2,LOTS,"[""24-03-2022 05:34:24"", ""24-03-2022 05:35:20"", ""24-03-2022 05:35:51"", ""24-03-2022 05:39:19"", ""24-03-2022 05:40:11"", ""24-03-2022 05:40:40"", ""24-03-2022 05:41:13"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:39"", ""24-03-2022 05:44:02""]","[[""option_1"", ""24-03-2022 05:44:37""]]",option_1,74,0,0
Student4,3,LOTS,"[""24-03-2022 05:35:29"", ""24-03-2022 05:35:56"", ""24-03-2022 05:39:19"", ""24-03-2022 05:40:11"", ""24-03-2022 05:40:41"", ""24-03-2022 05:41:16"", ""24-03-2022 05:41:54"", ""24-03-2022 05:45:13""]","[[""option_1"", ""24-03-2022 05:41:20""], [""option_1"", ""24-03-2022 05:45:16""]]",option_1,20,1,0
Student4,4,LOTS,"[""24-03-2022 05:36:05"", ""24-03-2022 05:39:20"", ""24-03-2022 05:39:51"", ""24-03-2022 05:40:11"", ""24-03-2022 05:40:41"", ""24-03-2022 05:41:34"", ""24-03-2022 05:45:18""]","[[""option_2"", ""24-03-2022 05:40:07""], [""option_2"", ""24-03-2022 05:45:18""], [""option_2"", ""24-03-2022 05:45:19""]]",option_2,37,1,0
Student4,5,LOTS,"[""24-03-2022 05:35:59"", ""24-03-2022 05:39:20"", ""24-03-2022 05:40:41"", ""24-03-2022 05:41:20"", ""24-03-2022 05:41:54"", ""24-03-2022 05:45:16""]","[[""option_1"", ""24-03-2022 05:41:34""], [""option_1"", ""24-03-2022 05:45:17""]]",option_1,19,1,0
Student4,6,LOTS,"[""24-03-2022 05:33:57"", ""24-03-2022 05:35:16"", ""24-03-2022 05:35:51"", ""24-03-2022 05:38:51"", ""24-03-2022 05:40:12"", ""24-03-2022 05:41:12"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:37"", ""24-03-2022 05:43:42"", ""24-03-2022 05:43:44""]","[[""option_3"", ""24-03-2022 05:35:20""], [""option_3"", ""24-03-2022 05:41:13""], [""option_3"", ""24-03-2022 05:43:39""], [""option_2"", ""24-03-2022 05:44:02""]]",option_2,77,1,0
Student4,7,LOTS,"[""24-03-2022 05:29:53"", ""24-03-2022 05:35:40"", ""24-03-2022 05:36:15"", ""24-03-2022 05:36:48"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:47"", ""24-03-2022 05:41:57""]","[[""option_2"", ""24-03-2022 05:37:29""], [""option_2"", ""24-03-2022 05:40:18""], [""option_2"", ""24-03-2022 05:40:59""], [""option_2"", ""24-03-2022 05:42:29""]]",option_2,144,0,0
Student4,8,LOTS,"[""24-03-2022 05:32:42"", ""24-03-2022 05:35:50"", ""24-03-2022 05:36:21"", ""24-03-2022 05:38:43"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:40"", ""24-03-2022 05:41:10"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:33""]","[[""option_1"", ""24-03-2022 05:32:58""], [""option_1"", ""24-03-2022 05:41:11""], [""option_1"", ""24-03-2022 05:43:35""]]",option_1,37,1,0
Student4,9,LOTS,"[""24-03-2022 05:34:57"", ""24-03-2022 05:35:20"", ""24-03-2022 05:35:54"", ""24-03-2022 05:39:19"", ""24-03-2022 05:40:40"", ""24-03-2022 05:41:15"", ""24-03-2022 05:41:54"", ""24-03-2022 05:44:37""]","[[""option_3"", ""24-03-2022 05:45:13""]]",option_3,63,0,0
Student4,10,LOTS,"[""24-03-2022 05:32:58"", ""24-03-2022 05:35:14"", ""24-03-2022 05:35:51"", ""24-03-2022 05:38:49"", ""24-03-2022 05:40:12"", ""24-03-2022 05:41:11"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:35"", ""24-03-2022 05:43:42""]","[[""option_3"", ""24-03-2022 05:33:57""], [""option_3"", ""24-03-2022 05:41:12""], [""option_3"", ""24-03-2022 05:41:12""], [""option_3"", ""24-03-2022 05:43:37""]]",option_3,64,1,0
Student4,11,HOTS,"[""24-03-2022 05:31:08"", ""24-03-2022 05:35:44"", ""24-03-2022 05:37:37"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:40"", ""24-03-2022 05:40:46"", ""24-03-2022 05:41:03"", ""24-03-2022 05:41:56"", ""24-03-2022 05:43:10""]","[[""option_4"", ""24-03-2022 05:31:56""], [""option_4"", ""24-03-2022 05:41:08""], [""option_4"", ""24-03-2022 05:43:14""]]",option_4,77,0,0
Student4,12,HOTS,"[""24-03-2022 05:36:07"", ""24-03-2022 05:39:20"", ""24-03-2022 05:39:51"", ""24-03-2022 05:40:07"", ""24-03-2022 05:40:41"", ""24-03-2022 05:45:19""]","[[""option_4"", ""24-03-2022 05:46:22""]]",option_4,77,1,0
Student4,13,HOTS,"[""24-03-2022 05:30:41"", ""24-03-2022 05:35:42"", ""24-03-2022 05:36:37"", ""24-03-2022 05:37:29"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:18"", ""24-03-2022 05:40:46"", ""24-03-2022 05:40:59"", ""24-03-2022 05:41:57"", ""24-03-2022 05:42:29""]","[[""option_2"", ""24-03-2022 05:43:10""]]",option_2,113,0,0
Student4,14,HOTS,"[""24-03-2022 05:39:21"", ""24-03-2022 05:40:41"", ""24-03-2022 05:46:22""]","[[""option_3"", ""24-03-2022 05:39:47""], [""option_3"", ""24-03-2022 05:39:48""], [""option_3"", ""24-03-2022 05:46:26""]]",option_3,42,1,0
Student4,15,HOTS,"[""24-03-2022 05:32:07"", ""24-03-2022 05:35:50"", ""24-03-2022 05:36:19"", ""24-03-2022 05:36:21"", ""24-03-2022 05:38:20"", ""24-03-2022 05:40:12"", ""24-03-2022 05:40:40"", ""24-03-2022 05:40:45"", ""24-03-2022 05:41:08"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:16""]","[[""option_3"", ""24-03-2022 05:43:33""]]",option_3,77,1,0
Student5,1,LOTS,"[""24-03-2022 05:37:15"", ""24-03-2022 05:45:07"", ""24-03-2022 05:46:40""]","[[""option_1"", ""24-03-2022 05:38:45""], [""option_1"", ""24-03-2022 05:46:44""]]",option_1,95,1,0
Student5,2,LOTS,"[""24-03-2022 05:35:07"", ""24-03-2022 05:41:22"", ""24-03-2022 05:43:32"", ""24-03-2022 05:46:20""]","[[""option_1"", ""24-03-2022 05:35:16""], [""option_1"", ""24-03-2022 05:46:25""]]",option_1,20,0,0
Student5,3,LOTS,"[""24-03-2022 05:34:11"", ""24-03-2022 05:34:36"", ""24-03-2022 05:40:38"", ""24-03-2022 05:40:43"", ""24-03-2022 05:40:48"", ""24-03-2022 05:40:53"", ""24-03-2022 05:42:56"", ""24-03-2022 05:45:23""]","[[""option_2"", ""24-03-2022 05:46:07""]]",option_2,100,0,0
Student5,4,LOTS,"[""24-03-2022 05:30:34"", ""24-03-2022 05:40:01"", ""24-03-2022 05:45:08""]","[[""option_2"", ""24-03-2022 05:31:39""], [""option_2"", ""24-03-2022 05:45:10""]]",option_2,72,1,0
Student5,5,LOTS,"[""24-03-2022 05:34:46"", ""24-03-2022 05:41:13"", ""24-03-2022 05:43:30"", ""24-03-2022 05:46:14""]","[[""option_1"", ""24-03-2022 05:35:07""], [""option_1"", ""24-03-2022 05:46:20""]]",option_1,33,1,0
Student5,6,LOTS,"[""24-03-2022 05:35:16"", ""24-03-2022 05:41:27"", ""24-03-2022 05:43:33"", ""24-03-2022 05:46:25""]","[[""option_2"", ""24-03-2022 05:41:54""], [""option_2"", ""24-03-2022 05:46:32""]]",option_2,83,1,0
Student5,7,LOTS,"[""24-03-2022 05:38:46"", ""24-03-2022 05:46:44""]","[[""option_1"", ""24-03-2022 05:47:12""]]",option_1,120,0,0
Student5,8,LOTS,"[""24-03-2022 05:32:37"", ""24-03-2022 05:32:46"", ""24-03-2022 05:40:19"", ""24-03-2022 05:40:45"", ""24-03-2022 05:45:15""]","[[""option_1"", ""24-03-2022 05:32:53""], [""option_1"", ""24-03-2022 05:45:17""]]",option_1,16,1,0
Student5,9,LOTS,"[""24-03-2022 05:31:40"", ""24-03-2022 05:32:45"", ""24-03-2022 05:40:07"", ""24-03-2022 05:45:10""]","[[""option_1"", ""24-03-2022 05:40:19""], [""option_1"", ""24-03-2022 05:45:15""]]",option_1,74,1,0
Student5,10,LOTS,"[""24-03-2022 05:33:35"", ""24-03-2022 05:34:27"", ""24-03-2022 05:40:34"", ""24-03-2022 05:40:43"", ""24-03-2022 05:40:47"", ""24-03-2022 05:45:22""]","[[""option_3"", ""24-03-2022 05:34:10""], [""option_3"", ""24-03-2022 05:45:23""]]",option_3,47,1,0
Student5,11,HOTS,"[""24-03-2022 05:34:44"", ""24-03-2022 05:40:50"", ""24-03-2022 05:40:57"", ""24-03-2022 05:43:29"", ""24-03-2022 05:46:11""]","[[""option_2"", ""24-03-2022 05:46:14""]]",option_2,22,0,0
Student5,12,HOTS,"[""24-03-2022 05:34:42"", ""24-03-2022 05:40:43"", ""24-03-2022 05:40:48"", ""24-03-2022 05:40:51"", ""24-03-2022 05:40:55"", ""24-03-2022 05:42:55"", ""24-03-2022 05:43:27"", ""24-03-2022 05:46:07""]","[[""option_4"", ""24-03-2022 05:40:50""], [""option_4"", ""24-03-2022 05:46:11""]]",option_4,15,1,0
Student5,13,HOTS,"[""24-03-2022 05:36:06"", ""24-03-2022 05:41:54"", ""24-03-2022 05:43:34"", ""24-03-2022 05:46:32""]","[[""option_3"", ""24-03-2022 05:42:12""], [""option_3"", ""24-03-2022 05:46:34""]]",option_3,28,1,0
Student5,14,HOTS,"[""24-03-2022 05:32:53"", ""24-03-2022 05:40:21"", ""24-03-2022 05:40:47"", ""24-03-2022 05:40:47"", ""24-03-2022 05:45:17""]","[[""option_3"", ""24-03-2022 05:40:34""], [""option_3"", ""24-03-2022 05:45:22""]]",option_3,58,1,0
Student5,15,HOTS,"[""24-03-2022 05:36:23"", ""24-03-2022 05:42:12"", ""24-03-2022 05:43:35"", ""24-03-2022 05:46:34""]","[[""option_4"", ""24-03-2022 05:37:15""], [""option_4"", ""24-03-2022 05:45:08""], [""option_4"", ""24-03-2022 05:46:40""]]",option_4,198,0,0
Student6,1,LOTS,"[""24-03-2022 05:30:11"", ""24-03-2022 05:30:56"", ""24-03-2022 05:39:03"", ""24-03-2022 05:42:37"", ""24-03-2022 05:45:31""]","[[""option_2"", ""24-03-2022 05:30:43""]]",option_2,53,0,0
Student6,2,LOTS,"[""24-03-2022 05:31:35"", ""24-03-2022 05:38:23"", ""24-03-2022 05:42:32"", ""24-03-2022 05:45:20"", ""24-03-2022 05:45:27"", ""24-03-2022 05:45:40""]","[[""option_1"", ""24-03-2022 05:38:27""]]",option_1,86,0,0
Student6,3,LOTS,"[""24-03-2022 05:34:51"", ""24-03-2022 05:41:35"", ""24-03-2022 05:42:44"", ""24-03-2022 05:45:15""]","[[""option_1"", ""24-03-2022 05:35:19""]]",option_1,60,1,0
Student6,4,LOTS,"[""24-03-2022 05:38:27"", ""24-03-2022 05:42:33"", ""24-03-2022 05:45:27""]","[[""option_2"", ""24-03-2022 05:38:29""]]",option_2,4,1,0
Student6,5,LOTS,"[""24-03-2022 05:30:43"", ""24-03-2022 05:30:58"", ""24-03-2022 05:35:21"", ""24-03-2022 05:41:51"", ""24-03-2022 05:43:01"", ""24-03-2022 05:45:16""]","[[""option_1"", ""24-03-2022 05:35:47""]]",option_1,98,1,1
Student6,6,LOTS,"[""24-03-2022 05:38:29"", ""24-03-2022 05:42:34"", ""24-03-2022 05:45:29""]","[[""option_2"", ""24-03-2022 05:38:32""]]",option_2,4,1,0
