Username/ID,Question,BT level,Question-Visit-Timestamp,Response-Submit-Timestamp,Response,Time,Score,Tab Switch
Student1,13,HOTS,"[""19-04-2022 05:24:46"", ""19-04-2022 05:27:37"", ""19-04-2022 05:27:53"", ""19-04-2022 05:38:42"", ""19-04-2022 05:40:26"", ""19-04-2022 05:40:39"", ""19-04-2022 05:41:17"", ""19-04-2022 05:42:53""]","[[""option_2"", ""19-04-2022 05:29:17""], [""option_2"", ""19-04-2022 05:42:56""]]",option_2,129,0,0
Student1,4,LOTS,"[""19-04-2022 05:25:16"", ""19-04-2022 05:27:37"", ""19-04-2022 05:29:39"", ""19-04-2022 05:29:41"", ""19-04-2022 05:30:02"", ""19-04-2022 05:30:44"", ""19-04-2022 05:32:22"", ""19-04-2022 05:38:44"", ""19-04-2022 05:39:13"", ""19-04-2022 05:39:26"", ""19-04-2022 05:41:34"", ""19-04-2022 05:42:57""]","[[""option_1"", ""19-04-2022 05:30:04""], [""option_1"", ""19-04-2022 05:30:51""], [""option_1"", ""19-04-2022 05:42:59""]]",option_1,55,0,0
Student1,14,HOTS,"[""19-04-2022 05:25:28"", ""19-04-2022 05:27:37"", ""19-04-2022 05:29:57"", ""19-04-2022 05:30:04"", ""19-04-2022 05:30:51"", ""19-04-2022 05:32:21"", ""19-04-2022 05:32:23"", ""19-04-2022 05:38:46"", ""19-04-2022 05:39:11"", ""19-04-2022 05:41:37"", ""19-04-2022 05:42:59""]","[[""option_3"", ""19-04-2022 05:32:20""], [""option_3"", ""19-04-2022 05:43:00""]]",option_3,155,1,0
Student1,10,LOTS,"[""19-04-2022 05:25:43"", ""19-04-2022 05:27:37"", ""19-04-2022 05:32:20"", ""19-04-2022 05:32:25"", ""19-04-2022 05:38:47"", ""19-04-2022 05:39:08"", ""19-04-2022 05:39:10"", ""19-04-2022 05:41:39"", ""19-04-2022 05:43:00""]","[[""option_1"", ""19-04-2022 05:32:42""], [""option_1"", ""19-04-2022 05:43:01""]]",option_1,35,0,0
Student1,3,LOTS,"[""19-04-2022 05:25:53"", ""19-04-2022 05:27:37"", ""19-04-2022 05:32:42"", ""19-04-2022 05:33:38"", ""19-04-2022 05:38:55"", ""19-04-2022 05:39:09"", ""19-04-2022 05:41:41"", ""19-04-2022 05:43:01""]","[[""option_2"", ""19-04-2022 05:33:19""], [""option_2"", ""19-04-2022 05:43:02""], [""option_2"", ""19-04-2022 05:43:02""]]",option_2,56,1,0
Student1,2,LOTS,"[""19-04-2022 05:26:16"", ""19-04-2022 05:27:36"", ""19-04-2022 05:33:59"", ""19-04-2022 05:42:29"", ""19-04-2022 05:43:03""]","[[""option_4"", ""19-04-2022 05:34:10""], [""option_4"", ""19-04-2022 05:42:33""], [""option_4"", ""19-04-2022 05:43:04""], [""option_4"", ""19-04-2022 05:43:04""]]",option_4,21,1,0
Student1,15,HOTS,"[""19-04-2022 05:26:25"", ""19-04-2022 05:27:36"", ""19-04-2022 05:34:10"", ""19-04-2022 05:42:33"", ""19-04-2022 05:43:04""]","[[""option_1"", ""19-04-2022 05:35:09""], [""option_1"", ""19-04-2022 05:42:34""]]",option_1,70,1,0
Student1,12,HOTS,"[""19-04-2022 05:26:41"", ""19-04-2022 05:27:36"", ""19-04-2022 05:35:30"", ""19-04-2022 05:42:42""]","[[""option_1"", ""19-04-2022 05:36:22""], [""option_1"", ""19-04-2022 05:42:45""]]",option_1,59,0,0
Student1,6,LOTS,"[""19-04-2022 05:26:46"", ""19-04-2022 05:27:36"", ""19-04-2022 05:36:22"", ""19-04-2022 05:42:45""]","[[""option_3"", ""19-04-2022 05:37:35""], [""option_3"", ""19-04-2022 05:42:46""]]",option_3,87,0,0
Student1,5,LOTS,"[""19-04-2022 05:27:01"", ""19-04-2022 05:27:36"", ""19-04-2022 05:37:35"", ""19-04-2022 05:39:34"", ""19-04-2022 05:42:46""]","[[""option_1"", ""19-04-2022 05:37:56""], [""option_1"", ""19-04-2022 05:42:47""]]",option_1,58,0,0
Student1,11,HOTS,"[""19-04-2022 05:27:16"", ""19-04-2022 05:37:56"", ""19-04-2022 05:39:56"", ""19-04-2022 05:42:48""]","[[""option_2"", ""19-04-2022 05:38:32""], [""option_2"", ""19-04-2022 05:38:33""], [""option_2"", ""19-04-2022 05:42:48""]]",option_2,77,1,0
Student1,8,LOTS,"[""19-04-2022 05:26:02"", ""19-04-2022 05:27:37"", ""19-04-2022 05:33:19"", ""19-04-2022 05:33:44"", ""19-04-2022 05:38:59"", ""19-04-2022 05:41:43"", ""19-04-2022 05:43:02""]","[[""option_3"", ""19-04-2022 05:42:29""], [""option_3"", ""19-04-2022 05:43:03""]]",option_3,100,0,0
Student1,9,LOTS,"[""19-04-2022 05:26:32"", ""19-04-2022 05:27:36"", ""19-04-2022 05:35:09"", ""19-04-2022 05:42:34""]","[[""option_3"", ""19-04-2022 05:42:42""]]",option_3,35,0,0
Student1,1,LOTS,"[""19-04-2022 05:24:19"", ""19-04-2022 05:27:37"", ""19-04-2022 05:38:39"", ""19-04-2022 05:40:09"", ""19-04-2022 05:40:40"", ""19-04-2022 05:42:50""]","[[""option_3"", ""19-04-2022 05:42:53""]]",option_3,101,0,0
Student1,7,LOTS,"[""19-04-2022 05:25:05"", ""19-04-2022 05:27:37"", ""19-04-2022 05:29:17"", ""19-04-2022 05:29:40"", ""19-04-2022 05:38:43"", ""19-04-2022 05:39:20"", ""19-04-2022 05:40:35"", ""19-04-2022 05:41:31"", ""19-04-2022 05:42:56""]","[[""option_2"", ""19-04-2022 05:42:57""]]",option_2,47,0,0
Student2,1,LOTS,"[""19-04-2022 05:24:14"", ""19-04-2022 05:34:17"", ""19-04-2022 05:38:55""]","[[""option_1"", ""19-04-2022 05:24:40""], [""option_1"", ""19-04-2022 05:34:28""]]",option_1,36,1,0
